Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Sales,Quantity,Discount,Profit
ORD-2025724,2024-08-26,2024-08-26,Same Day,CU-10275,Kevin Johnson,Consumer,West,Arizona,Phoenix,Furniture,Bookcases,381.58,1,0.4,-210.33
ORD-2026283,2022-07-24,2022-07-29,Standard Class,CU-10837,Ashley Anderson,Consumer,West,California,Los Angeles,Office Supplies,Paper,14.47,1,0.2,1.86
ORD-2026329,2024-11-22,2024-11-23,First Class,CU-10233,Nancy Jones,Home Office,East,New York,Buffalo,Office Supplies,Supplies,15.75,2,0.0,4.64
ORD-2022834,2024-04-13,2024-04-18,Standard Class,CU-10018,Nancy Taylor,Consumer,East,Massachusetts,Boston,Technology,Copiers,13213.6,3,0.2,183.61
ORD-2022222,2023-12-30,2024-01-02,Second Class,CU-10803,Susan Miller,Corporate,West,California,San Francisco,Office Supplies,Binders,66.58,5,0.0,19.05
ORD-2024851,2023-06-08,2023-06-10,Second Class,CU-10692,Ashley Williams,Consumer,Central,Illinois,Chicago,Office Supplies,Storage,230.96,2,0.0,68.52
ORD-2025677,2023-11-14,2023-11-18,Standard Class,CU-10358,Nancy Smith,Corporate,Central,Ohio,Columbus,Technology,Copiers,3617.06,1,0.0,981.03
ORD-2023810,2022-11-05,2022-11-09,Standard Class,CU-10094,David Jones,Consumer,Central,Ohio,Columbus,Furniture,Bookcases,3164.56,7,0.1,-269.12
ORD-2023171,2024-04-30,2024-05-04,Standard Class,CU-10627,Robert Jones,Consumer,West,California,San Francisco,Office Supplies,Labels,10.7,3,0.0,3.14
ORD-2022044,2024-09-09,2024-09-15,Standard Class,CU-10800,Ashley Lopez,Corporate,West,Washington,Seattle,Technology,Copiers,2288.12,1,0.0,435.32
ORD-2022349,2022-06-04,2022-06-11,Standard Class,CU-10531,Amy Jackson,Consumer,East,New York,New York City,Office Supplies,Paper,17.51,2,0.0,4.64
ORD-2024520,2022-09-07,2022-09-10,,CU-10137,Mary Anderson,Corporate,West,California,San Francisco,Office Supplies,Storage,159.15,3,0.0,53.48
ORD-2025409,2022-06-12,2022-06-16,,CU-10335,Sandra Moore,Consumer,West,California,Los Angeles,Technology,Phones,981.13,1,0.15,2.48
ORD-2026118,2022-12-24,2022-12-30,Standard Class,CU-10484,John Miller,Consumer,West,California,Los Angeles,Technology,Copiers,16669.02,5,0.1,675.23
ORD-2023685,2022-11-14,2022-11-20,Standard Class,CU-10687,Ashley Hernandez,Consumer,East,Pennsylvania,Philadelphia,Technology,Phones,483.7,1,0.4,-129.23
ORD-2025663,2024-01-27,2024-01-31,Second Class,CU-10612,Kevin Taylor,Corporate,West,Arizona,Phoenix,Technology,Phones,7159.07,7,0.2,-61.2
ORD-2024019,2023-03-17,2023-03-20,Standard Class,CU-10509,Steven Rodriguez,Home Office,East,Massachusetts,Boston,Office Supplies,Binders,57.02,1,0.0,17.73
ORD-2025671,2023-12-05,2023-12-08,Standard Class,CU-10106,Jason Jackson,Home Office,East,Pennsylvania,Philadelphia,Office Supplies,Art,63.38,2,0.0,20.04
ORD-2022592,2022-12-19,2022-12-20,First Class,CU-10806,James Lee,Corporate,Central,Michigan,Detroit,Furniture,Bookcases,1568.31,5,0.0,233.64
ORD-2023534,2022-04-29,2022-05-03,,CU-10558,Laura Wilson,Home Office,East,New York,Buffalo,Technology,Copiers,1402.67,2,0.3,-138.85
ORD-2022771,2023-11-13,2023-11-18,Standard Class,CU-10157,Robert Williams,Consumer,East,New York,New York City,Office Supplies,Storage,201.55,1,0.2,36.27
ORD-2025093,2024-12-15,2024-12-19,Standard Class,CU-10441,Elizabeth Johnson,Consumer,West,California,San Francisco,Technology,Accessories,535.23,3,0.1,85.05
ORD-2025789,2024-03-04,2024-03-10,Standard Class,CU-10631,Jason Brown,Corporate,West,California,Los Angeles,Technology,Phones,2077.62,3,0.0,477.61
ORD-2026211,2023-02-18,2023-02-20,Second Class,CU-10705,Nancy Smith,Consumer,East,Massachusetts,Boston,Office Supplies,Paper,9.88,3,0.0,2.69
ORD-2024907,2022-04-11,2022-04-17,Standard Class,CU-10385,Robert Moore,Home Office,Central,Ohio,Columbus,Technology,Phones,864.95,2,0.0,218.95
ORD-2025016,2024-12-07,2024-12-12,Standard Class,CU-10706,Laura Johnson,Home Office,Central,Ohio,Columbus,Office Supplies,Paper,20.18,1,0.0,6.08
ORD-2022098,2022-07-07,2022-07-13,Standard Class,CU-10712,Robert Lee,Corporate,South,Tennessee,Nashville,Furniture,Bookcases,902.94,2,0.2,-147.02
ORD-2022090,2022-08-25,2022-08-29,Second Class,CU-10648,Karen Jackson,Corporate,East,New York,Buffalo,Technology,Accessories,277.14,3,0.3,-59.95
ORD-2025707,2024-01-08,2024-01-12,Second Class,CU-10647,Kevin Martinez,Corporate,Central,Michigan,Detroit,Office Supplies,Storage,87.94,1,0.1,12.76
ORD-2023507,2023-07-19,2023-07-24,Standard Class,CU-10507,Sandra Anderson,Consumer,West,California,San Francisco,Office Supplies,Paper,20.21,1,0.0,7.44
ORD-2025370,2024-11-07,2024-11-09,First Class,CU-10503,Nancy Brown,Consumer,Central,Texas,Houston,Technology,Copiers,10134.38,3,0.0,2586.46
